market_id,timestamp,outcome,price,volume,best_bid,best_ask,bid_size,ask_size,source
2126503,2026-05-28 00:46:43.594000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.601000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.607000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.662000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.665000+00:00,yes,0.35,,0.4,0.3,60.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.705000+00:00,yes,0.35,,0.4,0.3,60.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.708000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.735000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.809000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.832000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.848000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.876000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.877000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.920000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.991000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:43.993000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:44.008000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:44.025000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:44.149000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:44.196000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:44.221000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
2126503,2026-05-28 00:46:44.222000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
