fixture_id,market_id,timestamp,outcome,price,volume,best_bid,best_ask,bid_size,ask_size,source
18746260,2126503,2026-05-28 00:46:43.594000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.601000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.607000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.662000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.665000+00:00,yes,0.35,,0.4,0.3,60.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.705000+00:00,yes,0.35,,0.4,0.3,60.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.708000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.735000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.809000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.832000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.848000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.876000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.877000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.920000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.991000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:43.993000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.008000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.025000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.149000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.196000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.221000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.222000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.264000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.363000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.375000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.391000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.394000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.450000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.520000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.553000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.607000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.612000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.662000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.821000+00:00,yes,0.295,,0.29,0.3,667.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.835000+00:00,yes,0.4399999999999999,,0.58,0.3,20.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.848000+00:00,yes,0.4399999999999999,,0.58,0.3,20.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.864000+00:00,yes,0.4399999999999999,,0.58,0.3,20.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.874000+00:00,yes,0.37,,0.44,0.3,40.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.889000+00:00,yes,0.37,,0.44,0.3,40.0,575.0,pmxt_archive_orderbook
18746260,2126503,2026-05-28 00:46:44.897000+00:00,yes,0.37,,0.44,0.3,40.0,575.0,pmxt_archive_orderbook
