goal_ts,base_price,reaction_ts,reaction_latency_sec,price_jump_magnitude,lsports_leads
2026-05-28 00:46:54.967075500+00:00,0.705,2026-05-28 00:47:04+00:00,9.032924,-0.19499999999999995,True
2026-05-28 02:07:21.622370400+00:00,0.405,2026-05-28 02:08:06+00:00,44.377629,0.46499999999999997,True
2026-05-28 02:24:12.788107900+00:00,0.965,2026-05-28 02:25:04+00:00,51.211892,0.030000000000000027,True
