fixture_id,ts,price,label_future_bbo_move,abs_mid_change_5s,abs_mid_change_10s,update_rate_5s,update_rate_10s,spread_shock,depth_drop_frac,abs_spread,depth,imbalance
18746260,2026-05-28 00:46:43+00:00,0.295,1,,,16.0,16.0,0.0,0.0,0.010000000000000009,1242.0,0.07407407407407407
18746260,2026-05-28 00:46:44+00:00,0.3,1,,,45.0,45.0,0.0,0.1817316841103711,0.010000000000000009,860.0,-0.3372093023255814
18746260,2026-05-28 00:46:45+00:00,0.345,1,,,90.0,90.0,0.08000000000000002,0.3023255813953488,0.09000000000000002,600.0,-0.9166666666666666
18746260,2026-05-28 00:46:46+00:00,0.345,0,,,102.0,102.0,0.04000000000000001,0.17808219178082196,0.09000000000000002,600.0,-0.9166666666666666
18746260,2026-05-28 00:46:47+00:00,0.495,0,,,123.0,123.0,0.29999999999999993,-1.3569767441860465,0.38999999999999996,2027.0,0.4326591021213616
18746260,2026-05-28 00:46:48+00:00,0.495,0,0.2,,136.0,152.0,0.29999999999999993,-0.8981921979067555,0.38999999999999996,1995.0,0.42355889724310775
18746260,2026-05-28 00:46:49+00:00,0.495,0,0.195,,140.0,185.0,0.29999999999999993,-0.606280193236715,0.38999999999999996,1995.0,0.42355889724310775
18746260,2026-05-28 00:46:50+00:00,0.495,0,0.15000000000000002,,125.0,215.0,0.14999999999999997,-0.014676715589051925,0.38999999999999996,1279.0,0.10086004691164972
18746260,2026-05-28 00:46:51+00:00,0.495,0,0.15000000000000002,,157.0,259.0,0.0,0.0,0.38999999999999996,1279.0,0.10086004691164972
18746260,2026-05-28 00:46:52+00:00,0.375,0,0.12,,169.0,292.0,0.0,0.2876477588258627,0.38999999999999996,897.9200000000001,-0.28073770491803274
18746260,2026-05-28 00:46:53+00:00,0.4349999999999999,0,0.06000000000000011,0.1399999999999999,196.0,332.0,-0.12,0.4671370560241075,0.26999999999999996,580.0,-0.9827586206896551
18746260,2026-05-28 00:46:54+00:00,0.5,0,0.0050000000000000044,0.2,278.0,418.0,-0.3499999999999999,0.9797879572974661,0.040000000000000036,22.0,0.0
18746260,2026-05-28 00:46:55+00:00,0.505,0,0.010000000000000009,0.16000000000000003,362.0,487.0,-0.25999999999999995,0.08780240949509466,0.13,1072.53,-0.9813525029602902
18746260,2026-05-28 00:46:56+00:00,0.4649999999999999,0,0.030000000000000082,0.11999999999999994,387.0,544.0,-0.35,0.9411276913328769,0.03999999999999998,69.22,0.7688529326784166
18746260,2026-05-28 00:46:57+00:00,0.4649999999999999,0,0.08999999999999991,0.030000000000000082,394.0,563.0,-0.27999999999999997,0.9297419371209622,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:46:58+00:00,0.4649999999999999,0,0.030000000000000027,0.030000000000000082,402.0,598.0,-0.15,0.9063278120601928,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:46:59+00:00,0.4649999999999999,0,0.03500000000000009,0.030000000000000082,287.0,565.0,-0.04000000000000001,0.7867594960105974,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:00+00:00,0.4649999999999999,0,0.04000000000000009,0.030000000000000082,173.0,535.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:01+00:00,0.4649999999999999,0,0.0,0.030000000000000082,104.0,491.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:02+00:00,0.4649999999999999,0,0.0,0.08999999999999991,64.0,458.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:03+00:00,0.4649999999999999,0,0.0,0.030000000000000027,0.0,402.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:04+00:00,0.4649999999999999,0,0.0,0.03500000000000009,0.0,287.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:05+00:00,0.4649999999999999,0,0.0,0.04000000000000009,0.0,173.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:06+00:00,0.4649999999999999,0,0.0,0.0,0.0,104.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
18746260,2026-05-28 00:47:07+00:00,0.4649999999999999,0,0.0,0.0,0.0,64.0,0.0,0.0,0.04999999999999999,69.22,0.7688529326784166
