fixture_id,event_date,n_live_events,median_event_gap_sec,p90_event_gap_sec,archive_lag_p50_sec,n_goals,polymarket_reaction_latency_sec,stale_window_sec
15901017,2026-05-24,,,,1841.263223,1,,
16012237,2026-05-24,2279.0,1.5651553,6.125370550000003,3559.003275,4,,
16050307,2026-05-24,1385.0,3.6454988999999998,8.874860380000001,4855.123151,0,,
16068930,2026-05-24,2868.0,1.5511454,5.24235134,4912.41689075,3,,
16086585,2026-05-24,2954.0,1.4643697,5.134959480000002,8041.4499573,4,,
16086591,2026-05-24,2707.0,1.5738059,5.0812083,8735.0420154,2,,
16086592,2026-05-24,2313.0,1.6073401500000002,5.813773990000001,8742.624085399999,2,,
16086598,2026-05-24,2727.0,1.5075259,5.55186925,6872.458159,2,,
16086610,2026-05-24,2659.0,1.4558636,5.385467200000003,8165.4816748,3,,
16086619,2026-05-24,1649.0,2.38602735,8.52867271,6978.8691799,2,,
16086620,2026-05-24,2843.0,1.4640388999999998,4.95912074,6937.3602832,2,,
16086621,2026-05-24,1708.0,2.2138315,8.637797540000001,7065.5597581,2,,
16086626,2026-05-24,1329.0,2.797186,9.04924995,5000.0196782,3,,
16086627,2026-05-24,2668.0,1.5131893,5.376334440000001,7237.3505535,4,,
16086629,2026-05-24,1771.0,2.4909278,7.509732620000001,7806.7765561,6,,
16099596,2026-05-24,1243.0,4.21097225,9.058063450000002,5409.81143405,3,,
16111065,2026-05-24,747.0,4.716830549999999,23.136601900000002,7035.3711242,4,,
16111091,2026-05-24,1416.0,3.5625168,8.873780180000002,4067.3631387,4,,
16111097,2026-05-24,1406.0,3.368102,8.892075180000003,5225.2630867,9,,
16121015,2026-05-24,1497.0,3.2912698000000002,8.80008635,7492.9948938,2,,
16550791,2026-05-24,2702.0,1.6093287,4.8811828,5737.3965987,3,,
18616927,2026-05-24,7.0,12.1748949,27.606797550000003,1716.4485753,1,,
18706857,2026-05-24,3976.0,1.4073858,5.071089,6448.2369416,4,,
18716688,2026-05-24,1270.0,2.620541,9.7732481,2407.8917542,1,,
18719306,2026-05-24,1464.0,3.0911782,8.7904815,6340.2165422,0,,
18724567,2026-05-24,2302.0,1.6092762,6.6384276,4760.6513364,4,,
18724568,2026-05-24,1584.0,2.633685,7.893738579999997,5663.0101909,3,,
18724879,2026-05-24,1457.0,2.89380995,9.2549063,5388.7282187,3,,
18724948,2026-05-24,1103.0,2.9603469999999996,9.824297339999998,7584.14838555,4,,
18737025,2026-05-24,1943.0,1.6693679,6.559959920000005,5910.2228481,2,,
18797549,2026-05-24,1503.0,2.8441969,8.678140500000003,6294.6143657,2,,
18834533,2026-05-24,762.0,7.0736754,17.688667,8761.570538700002,7,,
18856432,2026-05-24,2859.0,1.52012005,5.223063490000001,6249.1842902,3,,
18858175,2026-05-24,120.0,58.4352338,68.9000565,2788.13815965,0,,
18858181,2026-05-24,,,,3807.1885312,2,,
18858196,2026-05-24,,,,3882.693501,2,,
18860049,2026-05-24,1424.0,3.4326521,8.59543252,6609.1369868,3,,
18860050,2026-05-24,1355.0,3.4843258,9.134205170000001,7876.482176199999,4,,
18860051,2026-05-24,1452.0,3.2349238,8.3651856,6672.9515201,4,,
18861668,2026-05-24,1346.0,3.5393676,9.079033560000001,6444.2578246,4,,
16121012,2026-05-25,1356.0,3.280579,8.99736608,8185.9977971,2,,
18716687,2026-05-25,1454.0,2.7472426,9.068735219999999,2834.4945059,2,,
18716689,2026-05-25,1415.0,2.53320935,9.24197835,4559.4429949,4,,
18716690,2026-05-25,1442.0,2.5990723,9.2982506,7192.701323,5,,
18870307,2026-05-25,2679.0,1.63755735,5.4437385500000035,3179.3625586,5,,
18871274,2026-05-25,2067.0,1.7177153,6.21644605,8472.0871357,2,,
18893694,2026-05-25,1110.0,4.9404791,10.443885620000001,7109.8503727,9,,
18894361,2026-05-25,1284.0,2.5902587,9.531345019999995,7442.5452184,3,,
18896872,2026-05-25,2602.0,1.6180136,5.5953905,7537.5283154,2,,
18896873,2026-05-25,2315.0,1.74157685,6.09723766,7247.41097605,3,,
18896874,2026-05-25,2052.0,1.7549017,6.3182643,8438.8955561,2,,
18896875,2026-05-25,2513.0,1.6633822500000002,5.71496812,9256.4013804,2,,
18896876,2026-05-25,1915.0,1.5635816,6.947935480000001,7148.3261267,2,,
18904058,2026-05-25,2518.0,1.5454788,5.40279154,4909.90953075,1,,
18912675,2026-05-25,1498.0,3.0078574,8.951456460000001,3644.0472434,0,,
18913156,2026-05-25,766.0,7.871523,10.38796464,5309.01603515,1,,
18914886,2026-05-25,2735.0,1.5554242999999999,5.442974480000002,9341.5024103,3,,
18922547,2026-05-25,1462.0,2.7454875,9.0371322,6723.44776055,1,,
18922550,2026-05-25,1465.0,2.50339065,8.793441890000002,7100.7450852,5,,
18922554,2026-05-25,1283.0,2.5304669,9.013261520000004,5935.0491149,3,,
18922555,2026-05-25,1484.0,3.3363554,8.89922348,4939.6205084,0,,
18922582,2026-05-25,1526.0,2.9064298,8.726788200000001,4852.3844816,0,,
18922583,2026-05-25,1523.0,2.935103,8.663565290000005,4513.9295906,2,,
18922644,2026-05-25,1458.0,3.2007267,8.86818852,3868.1689602,4,,
18926373,2026-05-25,82.0,60.1592345,67.6710643,7109.39461125,5,,
18931973,2026-05-25,69.0,59.98606255,70.09223785,5161.1378425,1,,
18931974,2026-05-25,1233.0,2.5956691999999997,9.340177740000007,4389.0623808,3,,
18931975,2026-05-25,1549.0,2.54314465,8.773101989999999,5511.182005750001,2,,
18931976,2026-05-25,2427.0,1.68289365,5.7385068,6953.7255997,2,,
18931977,2026-05-25,2428.0,1.5542361,5.59998546,4148.30925485,5,,
18931978,2026-05-25,223.0,22.4669466,59.40278535,6491.907076150001,2,,
18931979,2026-05-25,103.0,59.7019979,66.71815638000001,6060.2101869,2,,
18931980,2026-05-25,154.0,38.9765122,61.211267740000004,4406.7058599,5,,
18931981,2026-05-25,1462.0,3.4082038,8.6376094,5893.8255267,2,,
18931982,2026-05-25,113.0,58.8565629,64.01232299,6629.4670488,0,,
18931983,2026-05-25,2500.0,1.7329221,5.587116840000005,4866.10160825,3,,
